CUE_NUMBER,PART_NUMBER,SCENE_NAME,LABEL,DURATION,UP_TIME,DOWN_TIME,UP_DELAY,DOWN_DELAY,FOLLOW
51.0,,Scene 6: Young Icarus,Garden Scene,3,3,,,,3
51.1,,Scene 6: Young Icarus,,2:30,2:30,,,,
52.0,,Scene 6: Young Icarus,Transition,2,1,,,,
53.0,,Scene 8: Minos' Speech,Courtyard,3,3,,,,
54.0,,Scene 8: Minos' Speech,Slow Mo moment,1,0.5,,,,
55.0,,Scene 8: Minos' Speech,---Restore---,2,2,,,,
56.0,,Scene 8: Minos' Speech,,1,1,,,,
56.1,,Scene 9: The Second King,,2,2,,,,
56.2,,Scene 9: The Second King,,3,3,,,,
57.0,,Scene 9: The Second King,Boat,5,5,1.0,,,
57.1,,Scene 9: The Second King,Transition,1,1,,,,
58.0,,Scene 10: Ready the Provisions,Garden Scene,1,1,,,,
59.0,,Scene 11: Counting Stars,Robbie + Sam Scene,2,1,0.0,1.0,0.0,
60.0,,Scene 12: Ariadne's Betrayal,Jenna and Will Scene,9,6,0.0,2.0,,
61.0,,Scene 13: Slaying the Minotaur,Back to Robbie,6,5,0.0,1.0,,
62.0,,Scene 13: Slaying the Minotaur,,1,1,,,,
63.0,,Scene 13: Slaying the Minotaur,,10,2,5.0,,,
64.0,,Scene 13: Slaying the Minotaur,,7,3,1.0,2.0,0.0,
65.0,,Scene 13: Slaying the Minotaur,---Follow---,0,0,,,,1
66.0,,Scene 13: Slaying the Minotaur,---Death Sheet---,2,2,,,,
66.5,,Scene 13: Slaying the Minotaur,,1,1,,,,
67.0,,Scene 13: Slaying the Minotaur,,5,2,0.0,1.0,0.0,
68.0,,Scene 14: The Tower PART 2,,1,1,,,,
69.0,,Scene 14: The Tower PART 2,Icarus and Deadulus throwen in tower,5,5,,,,
70.0,,Scene 14: The Tower PART 2,,5,5,,,,
71.0,,Scene 14: The Tower PART 2,,5.5,0,,,,
71.0,1.0,Scene 14: The Tower PART 2,Sam On Box With Wings,1,1,,,,
71.0,2.0,Scene 14: The Tower PART 2,,5.5,5,,0.5,,
73.0,,Scene 14: The Tower PART 2,,5,5,,,,
74.0,,Scene 14: The Tower PART 2,,45,0,,,,
74.0,1.0,Scene 14: The Tower PART 2,,10,10,,,,
74.0,2.0,Scene 14: The Tower PART 2,,30,30,,,,
74.0,3.0,Scene 14: The Tower PART 2,,45,45,,,,
75.0,,Scene 14: The Tower PART 2,---Follow---,0,0,,,,0.5
76.0,,Scene 14: The Tower PART 2,,5,5,,,,
77.0,,Scene 14: The Tower PART 2,Transition,5,5,,,,
78.0,,Scene 14: The Tower PART 2,Actors sit,5,5,,,,
79.0,,Scene 14: The Tower PART 2,,11,0,,,,
79.0,1.0,Scene 14: The Tower PART 2,Mural Turns,7,7,,,,
79.0,2.0,Scene 14: The Tower PART 2,,9,7,,2.0,,
79.0,3.0,Scene 14: The Tower PART 2,,11,7,,4.0,,
80.0,,Scene 14: The Tower PART 2,exhale,1,1,,,,
81.0,,Scene 14: The Tower PART 2,---Audio Cue---,0,0,,,,
